Auction ID,OPA,Address,County
1036996,561401200,"1211 FAUNCE ST,  19111-2720",Philadelphia
1037120,344223300,"624 WYNNEWOOD RD,  19151-3843",Philadelphia
1037126,663388700,"3658 CANBY DR,  19154-2008",Philadelphia
1037338,651110700,"4523 MARPLE ST,  19136-3715",Philadelphia
1037344,532016200,"1312 WELLS ST,  19111-4922",Philadelphia
1037545,042183200,"5635 WESTMINSTER AVE,  19131-4828",Philadelphia
1037758,352222400,"5820 WEYMOUTH ST,  19120-1137",Philadelphia
1037831,432279000,"3819 N 7TH ST,  19140-3203",Philadelphia
1038033,332349900,"4015 CLARIDGE ST,  19124-5308",Philadelphia
1038202,393419800,"2445 S 9TH ST,  19148-3715",Philadelphia
1038318,041336800,"1414 N ALLISON ST,  19131-3908",Philadelphia
1038324,562044700,"1908 STANWOOD ST,  19152-2621",Philadelphia
1038451,402172900,"6227 WHEELER ST,  19142-2913",Philadelphia
1038784,612150400,"256 W CHAMPLOST AVE,  19120-1810",Philadelphia
1038790,888650041,"5009 CONVENT LN aka 5009K SOUTH CONVENT LANE,  19114-0000",Philadelphia
1039473,621405600,"5345 OAKLAND ST,  19124-1221",Philadelphia
1040839,383123600,"3574 CRESSON ST,  19129-1648",Philadelphia
1040845,482344600,"1819 S 28TH ST,  19145-1701",Philadelphia
1040973,222118100,"417 E GORGAS LN,  19119-1319",Philadelphia
1041188,101319600,"1927 PLYMOUTH ST,  19138-2704",Philadelphia
1042492,612109100,"518 WIDENER ST,  19120-1319",Philadelphia
1042699,031057300,"6013 WALNUT ST,  19139-3713",Philadelphia
1042869,342093900,"6148 W OXFORD ST,  19151-3428",Philadelphia
1043161,261230900,"2829 S SYDENHAM ST,  19145-4920",Philadelphia
1043173,541066500,"1543 DEVEREAUX AVE,  19149-2802",Philadelphia
1043185,331268100,"3255 TAMPA ST,  19134-1812",Philadelphia
1043221,531054300,"1205 STIRLING ST,  19111-5837",Philadelphia
1043459,562409700,"8529 CASTOR AVE,  19152-1207",Philadelphia
1043471,871550460,"1501 S STANLEY ST,  19146-3523",Philadelphia
1043477,501206600,"8446 BAYARD ST,  19150-1610",Philadelphia
1043483,403178600,"6731 LINMORE AVE,  19142-1806",Philadelphia
1045812,442134600,"4910 KERSHAW ST,  19131-4517",Philadelphia
1046963,502296600,"8320 FAYETTE ST,  19150-2013",Philadelphia
1047064,501229200,"8418 PICKERING AVE,  19150-0000",Philadelphia
1047313,062009025,"4505 BROWN ST,  19139-1926",Philadelphia
1047319,192021700,"2652 N HOWARD ST,  19133-4034",Philadelphia
1047349,406615800,"2917 S 67TH ST,  19142-2604",Philadelphia
1047361,493254900,"6259 N BROAD ST,  19141-2007",Philadelphia
1047367,482202600,"2034 S 22ND ST,  19145-2702",Philadelphia
1047385,251453900,"2907 ARAMINGO AVE,  19134-4332",Philadelphia
1047577,871501810,"1535 S 10TH ST,  19147-6328",Philadelphia
1047583,344246300,"628 N 64TH ST,  19151-3837",Philadelphia
1047589,662119013,"12050 ABBY RD,  19154-2620",Philadelphia
1047861,392033300,"514 MC KEAN ST,  19148-0000",Philadelphia
1036388,581416400,"9831 HOFF ST,  19115-2206",Philadelphia
1036997,522254800,"2123 N 59TH ST,  19131-3001",Philadelphia
1037127,885849080,"3060 N 5TH ST,  19133-2809",Philadelphia
1037133,172493900,"5723 N BEECHWOOD ST,  19138-2801",Philadelphia
1037321,101307700,"1828 PLYMOUTH ST,  19126-1531",Philadelphia
1037345,522237100,"2224 N WANAMAKER ST,  19131-2213",Philadelphia
1037546,391299800,"2531 S PHILIP ST,  19148-4722",Philadelphia
1037680,381192200,"3035 N TANEY ST,  19132-1241",Philadelphia
1037759,281323400,"2527 W HAROLD ST,  19132-3608",Philadelphia
1037832,521371100,"2709 E COUNTRY CLUB RD,  19131-2831",Philadelphia
1038028,604168100,"5842 SPRUCE ST,  19139-3832",Philadelphia
1038034,222166100,"245 E DURHAM ST,  19119-1825",Philadelphia
1038203,101033500,"6613 N SMEDLEY ST,  19126-2757",Philadelphia
1038319,102273600,"1652 WASHINGTON LN,  19138-0000",Philadelphia
1038325,591026000,"6532 N BEECHWOOD ST,  19138-2506",Philadelphia
1038785,552424600,"6148 GILLESPIE ST,  19135-3611",Philadelphia
1039474,172044600,"5225 N 15TH ST,  19141-1601",Philadelphia
1040840,601051900,"4913 CHANCELLOR ST,  19139-4223",Philadelphia
1040846,581094500,"436 MARK PL,  19115-1113",Philadelphia
1040974,433394400,"4323 N 9TH ST,  19140-2226",Philadelphia
1041189,422247900,"314 W FISHER AVE,  19120-3215",Philadelphia
1041498,611095700,"6621 N 5TH ST,  19126-3004",Philadelphia
1041650,531134000,"1247 HELLERMAN ST,  19111-5528",Philadelphia
1042694,611154600,"6604 N 7TH ST,  19126-3021",Philadelphia
1042864,332565800,"4363 POTTER ST,  19124-4427",Philadelphia
1043162,404016300,"2512 SOUTH LLOYD STREET,  19142-0000",Philadelphia
1043168,406136000,"2629 S 70TH ST,  19142-2103",Philadelphia
1043192,406039100,"2629 S 67TH ST,  19142-2705",Philadelphia
1043222,871528280,"6639 CROWSON ST,  19119-2203",Philadelphia
1043228,463049000,"5516 CEDAR AVE,  19143-1930",Philadelphia
1043460,031190800,"30 S 62ND ST,  19139-2903",Philadelphia
1043478,521198500,"4453 SHERWOOD RD,  19131-1525",Philadelphia
1045315,282307700,"3115 W DAKOTA ST,  19132-3313",Philadelphia
1046964,651022200,"4723 BLEIGH AVE,  19136-4101",Philadelphia
1047065,621363900,"5242 SYLVESTER ST,  19124-1816",Philadelphia
1047071,251411500,"2984 CHATHAM ST,  19134-4305",Philadelphia
1047314,324120900,"1711 N TANEY ST,  19121-2820",Philadelphia
1047320,351212800,"537 EAST SANGER STREET,  19120-0000",Philadelphia
